@contest "2021 Hubei Provincial Collegiate Programming Contest --- Final Round"
@contlen 300
@problems 11
@teams 104
@submissions 1176
@p A,CRC Test,20,0
@p B,Mr.X and Reviewing Location,20,0
@p C,Data structure,20,0
@p D,Fragmentation merging,20,0
@p E,Revue,20,0
@p F,Battery,20,0
@p G,Crossword Puzzle,20,0
@p H,Information Transmission,20,0
@p I,Sequence,20,0
@p J,Similar Triangles,20,0
@p K,Chtholly and World-End Battle,20,0
@t 0, 0, 1, 武汉理工大学-team007
@t 1, 0, 1, 浙江农林大学-giegie，我们和你打ACM你男朋友不会生气吧
@t 2, 0, 1, 湖北省黄冈中学-*A.L.E.麦芽啤酒
@t 3, 0, 1, 武汉工程大学-名字取得比较随便
@t 4, 0, 1, 湖北工业大学-DiamondSplash
@t 5, 0, 1, 杭州师范大学-交流电
@t 6, 0, 1, 江西师范大学-胡乱AC
@t 7, 0, 1, 武汉科技大学-咩呀
@t 8, 0, 1, 常熟理工学院-总有一天我也会像你一样强
@t 9, 0, 1, 武汉科技大学-今天中午吃啥
@t 10, 0, 1, 福州大学-真的好想出去玩对不队
@t 11, 0, 1, 浙江工业大学-又携书剑鹏北海
@t 12, 0, 1, 中国地质大学（武汉）-香水有毒
@t 13, 0, 1, 浙江中医药大学-九九归一
@t 14, 0, 1, 武汉大学-要迟到了
@t 15, 0, 1, 长沙学院-Saber酱想打ACM
@t 16, 0, 1, 长沙理工大学-灯不亮了今天休息不营业
@t 17, 0, 1, 湖北工业大学-AC自动机fail树上dfs序建持久化线段树
@t 18, 0, 1, 武汉工程大学-江湖夜雨十年WA
@t 19, 0, 1, 华中科技大学-黑色切题者
@t 20, 0, 1, 武汉理工大学-带花猫猫头
@t 21, 0, 1, 黄冈师范学院-过来旅个游
@t 22, 0, 1, 武汉理工大学-我永远喜欢风冈麻理
@t 23, 0, 1, 华中师范大学-咸鱼一日游
@t 24, 0, 1, 江西理工大学-毫无细节可言
@t 25, 0, 1, 湖北理工学院-我恰个冰棒
@t 26, 0, 1, 江西理工大学-酸菜鱼
@t 27, 0, 1, 华中农业大学-嘎子icpc的事你把握不住的
@t 28, 0, 1, 西北大学-正在北非上网
@t 29, 0, 1, 武汉理工大学-NonWAer
@t 30, 0, 1, 中国矿业大学-给队长买女装的军费竟然全用来买冰激凌了
@t 31, 0, 1, 武汉大学-仓鼠菜菜
@t 32, 0, 1, 杭州师范大学-Fahaxiki
@t 33, 0, 1, 华中科技大学-不会写二分
@t 34, 0, 1, 华中师范大学第一附属中学-*差分约束做不队
@t 35, 0, 1, 武汉大学-狗头
@t 36, 0, 1, 桂林电子科技大学-珰珰珰珰
@t 37, 0, 1, 黄冈师范学院-俺们凑个数
@t 38, 0, 1, 湖北中医药大学-人均身高180
@t 39, 0, 1, 江西师范大学-自码小队
@t 40, 0, 1, 武汉市武钢三中-*支持5M以下png/jpg图片上传
@t 41, 0, 1, 武汉大学-队友睡着了
@t 42, 0, 1, 浙大城市学院-Steins;Gate
@t 43, 0, 1, 浙江工业大学-hss全球粉丝后援会
@t 44, 0, 1, 浙江工业职业技术学院-wxy说的都对
@t 45, 0, 1, 中国地质大学（武汉）-Cytus
@t 46, 0, 1, 江西师范大学-我的二叉树被淹了
@t 47, 0, 1, 华中科技大学-春田花花初级中学
@t 48, 0, 1, 惠州学院-爷青回
@t 49, 0, 1, 浙江中医药大学-ZCMU-TSP
@t 50, 0, 1, 湘潭大学-四川武汉指环王
@t 51, 0, 1, 湖南师范大学-英梨梨还是惠？这是个问题
@t 52, 0, 1, 武汉商学院-武汉商学院队
@t 53, 0, 1, 华中师范大学-经典经典经典
@t 54, 0, 1, 中国地质大学（武汉）-老年观佬
@t 55, 0, 1, 中国矿业大学-怎么用西加加wa煤
@t 56, 0, 1, 湖北工业大学-balloon
@t 57, 0, 1, 江西理工大学-sakurafubuki
@t 58, 0, 1, 武汉科技大学-我要我觉得
@t 59, 0, 1, 华南理工大学-ob自动机
