
@contest "2010 Codeforces Beta Round #1 (training)"
@s 46,B,1,3013,RJ
@s 2,C,1,3039,RJ
@s 14,C,2,3060,OK
@s 8,C,1,3089,RJ
@s 11,C,4,3132,RJ
@s 14,B,1,3133,RJ
@s 1,C,1,3180,OK
@s 13,B,1,3180,OK
@s 46,B,2,3195,RJ
@s 42,B,1,3217,RJ
@s 64,A,1,3241,RJ
@s 15,C,2,3243,RJ
@s 44,B,1,3251,RJ
@s 11,C,5,3294,RJ
@s 11,C,6,3330,RJ
@s 27,B,3,3345,RJ
@s 24,B,2,3360,OK
@s 55,A,2,3360,RJ
@s 7,C,2,3413,RJ
@s 30,B,3,3480,OK
@s 53,A,3,3480,OK
@s 65,A,1,3576,RJ
@s 17,B,3,3577,RJ
@s 29,B,2,3600,OK
@s 29,A,1,3622,RJ
@s 8,C,2,3648,RJ
@s 46,B,3,3668,RJ
@s 62,A,1,3678,RJ
@s 40,B,2,3680,RJ
@s 23,B,2,3720,OK
@s 54,A,3,3720,OK
@s 2,C,2,3778,RJ
@s 29,C,3,3778,RJ
@s 17,B,4,3834,RJ
@s 48,B,1,3847,RJ
@s 18,C,4,3856,RJ
@s 36,B,1,3859,RJ
@s 5,C,2,3880,RJ
@s 16,C,2,3922,RJ
@s 23,C,1,3927,RJ
@s 12,C,1,3977,RJ
@s 48,B,2,4019,RJ
@s 11,C,7,4020,OK
@s 27,B,4,4020,OK
@s 15,C,3,4059,RJ
@s 27,C,1,4069,RJ
@s 2,C,3,4080,OK
@s 12,B,1,4080,OK
@s 10,C,1,4136,RJ
@s 16,B,1,4137,RJ
@s 17,B,5,4140,OK
@s 25,B,1,4140,OK
@s 29,A,2,4140,OK
@s 55,A,3,4167,RJ
@s 6,C,1,4200,OK
@s 44,B,2,4208,RJ
@s 7,C,3,4209,RJ
@s 51,B,2,4242,RJ
@s 29,C,4,4251,RJ
@s 31,B,1,4261,RJ
@s 55,A,4,4273,RJ
@s 26,B,2,4277,RJ
@s 7,C,4,4320,OK
@s 50,A,1,4320,OK
@s 57,A,1,4328,RJ
@s 8,C,3,4380,OK
@s 26,B,3,4380,OK
@s 15,C,4,4387,RJ
@s 56,A,1,4394,RJ
@s 37,B,1,4409,RJ
@s 16,B,2,4418,RJ
@s 9,C,1,4423,RJ
@s 17,C,1,4438,RJ
@s 60,A,1,4451,RJ
@s 48,C,1,4455,RJ
@s 39,B,1,4499,RJ
@s 5,C,3,4500,OK
@s 10,C,2,4547,RJ
@s 15,C,5,4560,OK
@s 15,B,1,4578,RJ
@s 44,B,3,4593,RJ
@s 3,C,2,4620,OK
@s 13,C,1,4622,RJ
@s 9,C,2,4640,RJ
@s 14,B,2,4654,RJ
@s 55,A,5,4655,RJ
@s 44,B,4,4661,RJ
@s 16,B,3,4680,OK
@s 55,A,6,4703,RJ
@s 60,A,2,4710,RJ
@s 19,C,1,4760,RJ
@s 55,A,7,4780,RJ
@s 36,B,2,4817,RJ
@s 10,C,3,4860,OK
@s 60,A,3,4861,RJ
@s 55,A,8,4866,RJ
@s 32,B,1,4874,RJ
@s 36,B,3,4899,RJ
@s 9,C,3,4920,OK
@s 18,C,5,4927,RJ
@s 46,B,4,4943,RJ
@s 30,C,1,4965,RJ
@s 45,B,2,4986,RJ
@s 44,B,5,5033,RJ
@s 19,C,2,5059,RJ
@s 18,C,6,5065,RJ
@s 65,A,2,5074,RJ
@s 60,A,4,5100,RJ
@s 19,C,3,5103,RJ
@s 27,C,2,5105,RJ
@s 31,B,2,5106,RJ
@s 59,A,1,5129,RJ
@s 44,B,6,5134,RJ
@s 18,C,7,5160,RJ
@s 60,A,5,5162,RJ
@s 41,B,1,5182,RJ
@s 14,B,3,5220,OK
@s 55,A,9,5220,OK
@s 23,C,2,5230,RJ
@s 40,B,3,5231,RJ
@s 19,C,4,5367,RJ
@s 20,C,3,5478,RJ
@s 39,B,2,5482,RJ
@s 32,B,2,5483,RJ
@s 59,A,2,5492,RJ
@s 19,C,5,5519,RJ
@s 44,B,7,5536,RJ
@s 18,C,8,5558,RJ
@s 17,C,2,5570,RJ
@s 44,B,8,5630,RJ
@s 52,A,1,5700,OK
@s 15,B,2,5760,OK
@s 60,A,6,5760,RJ
@s 64,A,2,5780,RJ
@s 27,C,3,5783,RJ
@s 18,C,9,5812,RJ
@s 65,A,3,5847,RJ
@s 62,A,2,5878,RJ
@s 18,C,10,5900,RJ
@s 42,B,2,5952,RJ
@s 19,B,1,6000,OK
@s 40,B,4,6000,RJ
@s 56,A,2,6009,RJ
@s 21,C,1,6034,RJ
@s 20,C,4,6043,RJ
@s 16,C,3,6120,OK
@s 57,A,2,6135,RJ
@s 17,C,3,6224,RJ
@s 61,A,1,6244,RJ
@s 56,A,3,6258,RJ
@s 39,B,3,6276,RJ
@s 19,C,6,6300,OK
@s 34,B,1,6307,RJ
@s 45,B,3,6337,RJ
@s 56,A,4,6344,RJ
@s 18,C,11,6360,OK
@s 59,A,3,6394,RJ
@s 20,C,5,6405,RJ
@s 32,B,3,6408,RJ
@s 56,A,5,6415,RJ
@s 42,B,3,6418,RJ
@s 29,C,5,6439,RJ
@s 31,B,3,6460,RJ
@s 20,C,6,6479,RJ
@s 64,A,3,6532,RJ
@s 44,B,9,6548,RJ
@s 42,B,4,6559,RJ
@s 23,C,3,6579,RJ
@s 13,C,2,6585,RJ
@s 34,B,2,6597,RJ
@s 17,C,4,6600,OK
@s 28,B,1,6600,OK
